temporada,club,jugador,tipo_operacion,club_destino
2025-26,UD Las Palmas,Alberto Moleiro,traspaso,Villarreal CF
2025-26,UD Las Palmas,Andy Pelmard,retorno de cesión,Clermont Foot 63
2025-26,UD Las Palmas,Benito Ramírez,libre,Van Spor FK
2025-26,UD Las Palmas,Dário Essugo,retorno de cesión,Sporting CP
2025-26,UD Las Palmas,Edward Cedeño,cesión,Albacete Balompié
2025-26,UD Las Palmas,Fábio Silva,retorno de cesión,Wolverhampton Wanderers
2025-26,UD Las Palmas,Iván Cédric,cesión,Van Spor FK
2025-26,UD Las Palmas,Jaime Mata,desconocido,Without Club
2025-26,UD Las Palmas,Jasper Cillessen,libre,NEC Nijmegen
2025-26,UD Las Palmas,Javi Muñoz,libre,Getafe CF
2025-26,UD Las Palmas,José Campaña,desconocido,Without Club
2025-26,UD Las Palmas,Marc Cardona,libre,FC Andorra
2025-26,UD Las Palmas,Milos Lukovic,retorno de cesión,RC Strasbourg Alsace
2025-26,UD Las Palmas,Oli McBurnie,libre,Hull City
2025-26,UD Las Palmas,Scott McKenna,libre,GNK Dinamo Zagreb
2025-26,UD Las Palmas,Sory Kaba,libre,Oud-Heverlee Leuven
2025-26,UD Las Palmas,Stefan Bajcetic,retorno de cesión,Liverpool FC
2025-26,UD Las Palmas,Valentín Pezzolesi,desconocido,Las Palmas Atlético
2025-26,UD Las Palmas,Álex Muñoz,libre,UD Almería
