#;Media;Total;Categoría;Nombre;Apodo;Año;Procedencia;Equipo;Liga;"Pierna
Dominante";Posición;Impacto Ofensivo;Impacto Defensivo;Ritmo;Ejecución Técnica;Comportamiento Táctico;Skill RBB;Altura;Complexión;Comentarios;Rendimiento;Proyección;Contexto;Ojeador;Media Javi G;Media Á. Oñate;Media J.L. Tijerín;Media J. Román;Peso Impacto Ofensivo;Peso Impacto Defensivo;Peso Ritmo;Peso Ejecución Técnica;Peso Comportamiento Táctico;Peso Skill;NOM PROPIO SIN TILDES;Peso Altura;Peso Complexión;Etapa;Año Ponderación;;CONTRATOS;
488;4,04;23;Senior;Italo de Jesús Barbosa;Italo Cabelinho;2004;Brasil;CD Santa Clara U23;Liga Revelação U23;Diestro;Defensa central;3;4;4;4;5;3;4;3;"Italo Cabelinho es un jugador nacido en el año 2004, actualmente en etapa de rendimiento (Senior), de altura media-alta y complexión normal. Actúa principalmente como defensa central y es de lateralidad diestra.
A nivel ofensivo, participa de forma muy puntual, sin generar peligro a través de la salida, la conducción o las acciones a balón parado. En defensa, muestra una intervención baja y de eficacia reducida en duelos, correcciones y defensa del área. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en aceleraciones cortas, correcciones y desplazamientos. En ejecución técnica, muestra una ejecución irregular en control, pase y salida de balón.
A nivel táctico, presenta un posicionamiento correcto en línea, coberturas y defensa del área. En cuanto a la skill, presenta recursos muy básicos en juego aéreo, conducción o pase diferencial.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;4,04;;0,04;0,27;0,18;0,09;0,18;0,05;;0,14;0,05;Rendimiento;2006;;30/06/2026;
489;4,27;23;Senior;Rodrigo Viana Dias;Viana Dias;2005;Portugal;CD Santa Clara U23;Liga Revelação U23;Zurdo;Defensa central;2;5;4;4;5;3;4;3;"Viana Dias es un jugador nacido en el año 2005, actualmente en etapa de rendimiento (Senior), de altura media-alta y complexión normal. Actúa principalmente como defensa central y es de lateralidad zurda.
A nivel ofensivo, tiene una intervención ofensiva residual y sin incidencia a través de la salida, la conducción o las acciones a balón parado. En defensa, participa con cierta continuidad, aunque sin frenar al rival de forma clara en duelos, correcciones y defensa del área. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en aceleraciones cortas, correcciones y desplazamientos. En ejecución técnica, muestra una ejecución irregular en control, pase y salida de balón.
A nivel táctico, presenta un posicionamiento correcto en línea, coberturas y defensa del área. En cuanto a la skill, presenta recursos muy básicos en juego aéreo, conducción o pase diferencial.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;4,27;;0,04;0,27;0,18;0,09;0,18;0,05;;0,14;0,05;Rendimiento;2006;;30/06/2028;
490;4,98;21;Senior;Carlos Alexandre Fortunato do Amaral;Carlos Amaral;2005;Portugal;CD Santa Clara U23;Liga Revelação U23;Zurdo;Lateral;3;4;4;3;4;3;3;2;"Carlos Amaral es un jugador nacido en el año 2005, actualmente en etapa de rendimiento (Senior), de altura media y complexión atlética. Actúa principalmente como lateral y es de lateralidad zurda.
A nivel ofensivo, participa de forma muy puntual, sin generar peligro a través de sus incorporaciones, centros y presencia en campo rival. En defensa, muestra una intervención baja y de eficacia reducida en duelo, contención y defensa de banda. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en recorridos largos y repetición de esfuerzos. En ejecución técnica, tiene una precisión baja que limita la continuidad del juego en control, pase y centro.
A nivel táctico, presenta un comportamiento táctico irregular en altura, amplitud y ajuste defensivo. En cuanto a la skill, presenta recursos muy básicos en conducción, centro y acciones poco previsibles.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;3,58;6,38;0,10;0,27;0,27;0,09;0,08;0,10;;0,05;0,04;Rendimiento;2006;;30/06/2026;
491;5,13;25;Senior;Tiago Ricardo Pinto Queiroz;Tiago Queiroz;2005;Portugal;CD Santa Clara U23;Liga Revelação U23;Zurdo;Extremo;5;4;4;4;5;3;4;3;"Tiago Queiroz es un jugador nacido en el año 2005, actualmente en etapa de rendimiento (Senior), de altura media-alta y complexión normal. Actúa principalmente como extremo y es de lateralidad zurda.
A nivel ofensivo, participa con cierta continuidad, aunque sin generar peligro claro desde banda y en situaciones de desequilibrio. En defensa, muestra una intervención baja y de eficacia reducida en ayudas, repliegue y presión. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en aceleración, desborde y repetición de acciones de alta intensidad. En ejecución técnica, muestra una ejecución irregular en control, conducción, centro y finalización.
A nivel táctico, presenta un posicionamiento correcto en amplitud, profundidad y ayudas. En cuanto a la skill, presenta recursos muy básicos en regate, 1v1 y acciones imprevisibles.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;4,09;6,16;0,22;0,08;0,27;0,10;0,08;0,18;;0,04;0,03;Rendimiento;2006;;30/06/2026;
492;4,47;27;Senior;Hiago Souza Lima Santos;Hiago Santos;2004;Brasil;CD Santa Clara U23;Liga Revelação U23;Diestro;Mediocentro;5;5;4;5;5;3;4;2;"Hiago Santos es un jugador nacido en el año 2004, actualmente en etapa de rendimiento (Senior), de altura media-alta y complexión atlética. Actúa principalmente como mediocentro y es de lateralidad diestra.
A nivel ofensivo, participa con cierta continuidad, aunque sin generar peligro claro en la progresión, la activación del juego y la llegada puntual. En defensa, participa con cierta continuidad, aunque sin frenar al rival de forma clara en equilibrio, recuperación e interrupción del juego rival. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en movilidad, dinamismo y repetición de esfuerzos. En ejecución técnica, presenta una ejecución correcta en control, pase y continuidad del juego.
A nivel táctico, presenta un posicionamiento correcto en equilibrio, apoyos y ocupación de espacios. En cuanto a la skill, presenta recursos muy básicos en giro, control, pase o conducción.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;4,47;;0,06;0,18;0,21;0,19;0,18;0,08;;0,07;0,03;Rendimiento;2006;;30/06/2026;
493;5,06;25;Senior;Isaac Souza Valença;Isaac;2004;Brasil;CD Santa Clara U23;Liga Revelação U23;Zurdo;Extremo;5;4;4;4;5;3;4;4;"Isaac es un jugador nacido en el año 2004, actualmente en etapa de rendimiento (Senior), de altura media-alta y complexión fuerte. Actúa principalmente como extremo y es de lateralidad zurda.
A nivel ofensivo, participa con cierta continuidad, aunque sin generar peligro claro desde banda y en situaciones de desequilibrio. En defensa, muestra una intervención baja y de eficacia reducida en ayudas, repliegue y presión. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en aceleración, desborde y repetición de acciones de alta intensidad. En ejecución técnica, muestra una ejecución irregular en control, conducción, centro y finalización.
A nivel táctico, presenta un posicionamiento correcto en amplitud, profundidad y ayudas. En cuanto a la skill, presenta recursos muy básicos en regate, 1v1 y acciones imprevisibles.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;4,12;5,99;0,22;0,08;0,27;0,10;0,08;0,18;;0,04;0,03;Rendimiento;2006;;30/06/2026;
494;4,00;24;Senior;Adriel Guilherme de Moraes;Adriel Moraes;2005;Brasil;CD Santa Clara U23;Liga Revelação U23;Zurdo;Delantero;5;3;4;4;5;3;3;3;"Adriel Moraes es un jugador nacido en el año 2005, actualmente en etapa de rendimiento (Senior), de altura media y complexión normal. Actúa principalmente como delantero y es de lateralidad zurda.
A nivel ofensivo, participa con cierta continuidad, aunque sin generar peligro claro en la finalización, los desmarques y la generación de ocasiones. En defensa, su participación es muy puntual y sin impacto real desde la presión sobre la salida rival. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en desmarques, aceleración y explosividad. En ejecución técnica, muestra una ejecución irregular en control y finalización.
A nivel táctico, presenta un posicionamiento correcto en ubicación, desmarques y referencia ofensiva. En cuanto a la skill, presenta recursos muy básicos en control, finalización y recursos propios del área.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;4,00;;0,28;0,04;0,14;0,10;0,10;0,22;;0,07;0,05;Rendimiento;2006;;30/06/2026;
495;5,13;26;Senior;Daniel da Silva;Daniel da Silva;2004;Brasil;CD Santa Clara U23;Liga Revelação U23;Diestro;Delantero;5;4;4;5;5;3;3;3;"Daniel da Silva es un jugador nacido en el año 2004, actualmente en etapa de rendimiento (Senior), de altura media y complexión normal. Actúa principalmente como delantero y es de lateralidad diestra.
A nivel ofensivo, participa con cierta continuidad, aunque sin generar peligro claro en la finalización, los desmarques y la generación de ocasiones. En defensa, muestra una intervención baja y de eficacia reducida desde la presión sobre la salida rival. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en desmarques, aceleración y explosividad. En ejecución técnica, presenta una ejecución correcta en control y finalización.
A nivel táctico, presenta un posicionamiento correcto en ubicación, desmarques y referencia ofensiva. En cuanto a la skill, presenta recursos muy básicos en control, finalización y recursos propios del área.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;4,14;6,12;0,28;0,04;0,14;0,10;0,10;0,22;;0,07;0,05;Rendimiento;2006;; ;
496;3,89;24;Senior;Tomás Afonso Dobreira Caturra;Tomás Caturra;2006;Portugal;UD Leiria U23;Liga Revelação U23;Diestro;Lateral;4;4;4;4;5;3;3;3;"Tomás Caturra es un jugador nacido en el año 2006, actualmente en etapa de rendimiento (Senior), de altura media y complexión normal. Actúa principalmente como lateral y es de lateralidad diestra.
A nivel ofensivo, tiene una participación baja y un impacto muy reducido a través de sus incorporaciones, centros y presencia en campo rival. En defensa, muestra una intervención baja y de eficacia reducida en duelo, contención y defensa de banda. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en recorridos largos y repetición de esfuerzos. En ejecución técnica, muestra una ejecución irregular en control, pase y centro.
A nivel táctico, presenta un posicionamiento correcto en altura, amplitud y ajuste defensivo. En cuanto a la skill, presenta recursos muy básicos en conducción, centro y acciones poco previsibles.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;3,89;;0,10;0,27;0,27;0,09;0,08;0,10;;0,05;0,04;Rendimiento;2006;;30/06/2026;
497;5,34;29;Senior;Quintino Tchuvica Candundu;Quilma;2006;Angola;UD Leiria U23;Liga Revelação U23;Diestro;Defensa central;3;7;6;4;6;3;4;2;"Quilma es un jugador nacido en el año 2006, actualmente en etapa de rendimiento (Senior), de altura media-alta y complexión atlética. Actúa principalmente como defensa central y es de lateralidad diestra.
A nivel ofensivo, participa de forma muy puntual, sin generar peligro a través de la salida, la conducción o las acciones a balón parado. En defensa, interviene y dificulta al rival de forma frecuente en duelos, correcciones y defensa del área. En cuanto al ritmo, muestra un buen nivel de velocidad y ejecución en aceleraciones cortas, correcciones y desplazamientos. En ejecución técnica, muestra una ejecución irregular en control, pase y salida de balón.
A nivel táctico, muestra un buen posicionamiento en muchas acciones en línea, coberturas y defensa del área. En cuanto a la skill, presenta recursos muy básicos en juego aéreo, conducción o pase diferencial.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento adecuado para el contexto competitivo actual y su proyección hacia el fútbol profesional sugiere una proyección más limitada hacia contextos competitivos poco exigentes.";B;C;Betis Deportivo;J.L. Tijerín;;;5,34;;0,04;0,27;0,18;0,09;0,18;0,05;;0,14;0,05;Rendimiento;2006;;30/06/2026;
498;4,36;24;Senior;Ronaldo Barrett;Barrett;2006;Jamaica;UD Leiria U23;Liga Revelação U23;Zurdo;Defensa central;3;5;4;4;5;3;4;4;"Barrett es un jugador nacido en el año 2006, actualmente en etapa de rendimiento (Senior), de altura media-alta y complexión fuerte. Actúa principalmente como defensa central y es de lateralidad zurda.
A nivel ofensivo, participa de forma muy puntual, sin generar peligro a través de la salida, la conducción o las acciones a balón parado. En defensa, participa con cierta continuidad, aunque sin frenar al rival de forma clara en duelos, correcciones y defensa del área. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en aceleraciones cortas, correcciones y desplazamientos. En ejecución técnica, muestra una ejecución irregular en control, pase y salida de balón.
A nivel táctico, presenta un posicionamiento correcto en línea, coberturas y defensa del área. En cuanto a la skill, presenta recursos muy básicos en juego aéreo, conducción o pase diferencial.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento complementario para el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";C;D;Betis Deportivo;J.L. Tijerín;;;4,36;;0,04;0,27;0,18;0,09;0,18;0,05;;0,14;0,05;Rendimiento;2006;; ;
499;4,31;26;Senior;Sebastiao Correia Leandro;Sebastiao Leandro;2006;Portugal;UD Leiria U23;Liga Revelação U23;Zurdo;Lateral;5;4;5;4;5;3;4;3;"Sebastiao Leandro es un jugador nacido en el año 2006, actualmente en etapa de rendimiento (Senior), de altura media-alta y complexión normal. Actúa principalmente como lateral y es de lateralidad zurda.
A nivel ofensivo, participa con cierta continuidad, aunque sin generar peligro claro a través de sus incorporaciones, centros y presencia en campo rival. En defensa, muestra una intervención baja y de eficacia reducida en duelo, contención y defensa de banda. En cuanto al ritmo, presenta un ritmo correcto en recorridos largos y repetición de esfuerzos. En ejecución técnica, muestra una ejecución irregular en control, pase y centro.
A nivel táctico, presenta un posicionamiento correcto en altura, amplitud y ajuste defensivo. En cuanto a la skill, presenta recursos muy básicos en conducción, centro y acciones poco previsibles.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;4,31;;0,10;0,27;0,27;0,09;0,08;0,10;;0,05;0,04;Rendimiento;2006;;30/06/2026;
500;3,97;24;Senior;Pedro Manuel Borges Oliveira;Pedro Oliveira;2005;Portugal;UD Leiria U23;Liga Revelação U23;Zurdo;Extremo;5;3;4;4;5;3;3;3;"Pedro Oliveira es un jugador nacido en el año 2005, actualmente en etapa de rendimiento (Senior), de altura media y complexión normal. Actúa principalmente como extremo y es de lateralidad zurda.
A nivel ofensivo, participa con cierta continuidad, aunque sin generar peligro claro desde banda y en situaciones de desequilibrio. En defensa, su participación es muy puntual y sin impacto real en ayudas, repliegue y presión. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en aceleración, desborde y repetición de acciones de alta intensidad. En ejecución técnica, muestra una ejecución irregular en control, conducción, centro y finalización.
A nivel táctico, presenta un posicionamiento correcto en amplitud, profundidad y ayudas. En cuanto a la skill, presenta recursos muy básicos en regate, 1v1 y acciones imprevisibles.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;3,97;;0,22;0,08;0,27;0,10;0,08;0,18;;0,04;0,03;Rendimiento;2006;;30/06/2026;
501;3,96;25;Senior;Daniel Porfírio Antunes;Daniel Antunes;2005;Portugal;UD Leiria U23;Liga Revelação U23;Diestro;Mediocentro;5;4;4;4;5;3;2;2;"Daniel Antunes es un jugador nacido en el año 2005, actualmente en etapa de rendimiento (Senior), de altura media-baja y complexión atlética. Actúa principalmente como mediocentro y es de lateralidad diestra.
A nivel ofensivo, participa con cierta continuidad, aunque sin generar peligro claro en la progresión, la activación del juego y la llegada puntual. En defensa, muestra una intervención baja y de eficacia reducida en equilibrio, recuperación e interrupción del juego rival. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en movilidad, dinamismo y repetición de esfuerzos. En ejecución técnica, muestra una ejecución irregular en control, pase y continuidad del juego.
A nivel táctico, presenta un posicionamiento correcto en equilibrio, apoyos y ocupación de espacios. En cuanto a la skill, presenta recursos muy básicos en giro, control, pase o conducción.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;3,96;;0,06;0,18;0,21;0,19;0,18;0,08;;0,07;0,03;Rendimiento;2006;;30/06/2026;
502;3,70;23;Senior;Miguel Angelo Martins da Cruz;Miguel Cruz;2006;Portugal;UD Leiria U23;Liga Revelação U23;Diestro;Mediocentro;5;3;4;4;4;3;3;3;"Miguel Cruz es un jugador nacido en el año 2006, actualmente en etapa de rendimiento (Senior), de altura media y complexión normal. Actúa principalmente como mediocentro y es de lateralidad diestra.
A nivel ofensivo, participa con cierta continuidad, aunque sin generar peligro claro en la progresión, la activación del juego y la llegada puntual. En defensa, su participación es muy puntual y sin impacto real en equilibrio, recuperación e interrupción del juego rival. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en movilidad, dinamismo y repetición de esfuerzos. En ejecución técnica, muestra una ejecución irregular en control, pase y continuidad del juego.
A nivel táctico, presenta un comportamiento táctico irregular en equilibrio, apoyos y ocupación de espacios. En cuanto a la skill, presenta recursos muy básicos en giro, control, pase o conducción.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;3,70;;0,06;0,18;0,21;0,19;0,18;0,08;;0,07;0,03;Rendimiento;2006;;30/06/2026;
503;3,72;23;Senior;Joao Pedro Soares Simoes;Joao Simoes;2006;Portugal;UD Leiria U23;Liga Revelação U23;Diestro;Extremo;4;3;4;4;5;3;3;2;"Joao Simoes es un jugador nacido en el año 2006, actualmente en etapa de rendimiento (Senior), de altura media y complexión atlética. Actúa principalmente como extremo y es de lateralidad diestra.
A nivel ofensivo, tiene una participación baja y un impacto muy reducido desde banda y en situaciones de desequilibrio. En defensa, su participación es muy puntual y sin impacto real en ayudas, repliegue y presión. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en aceleración, desborde y repetición de acciones de alta intensidad. En ejecución técnica, muestra una ejecución irregular en control, conducción, centro y finalización.
A nivel táctico, presenta un posicionamiento correcto en amplitud, profundidad y ayudas. En cuanto a la skill, presenta recursos muy básicos en regate, 1v1 y acciones imprevisibles.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;3,72;;0,22;0,08;0,27;0,10;0,08;0,18;;0,04;0,03;Rendimiento;2006;;30/06/2026;
504;4,09;26;Senior;Xavier Teixeira Mendes Cavaco;Xavier Cavaco;2006;Portugal;UD Leiria U23;Liga Revelação U23;Diestro;Delantero;5;4;4;5;5;3;3;2;"Xavier Cavaco es un jugador nacido en el año 2006, actualmente en etapa de rendimiento (Senior), de altura media y complexión atlética. Actúa principalmente como delantero y es de lateralidad diestra.
A nivel ofensivo, participa con cierta continuidad, aunque sin generar peligro claro en la finalización, los desmarques y la generación de ocasiones. En defensa, muestra una intervención baja y de eficacia reducida desde la presión sobre la salida rival. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en desmarques, aceleración y explosividad. En ejecución técnica, presenta una ejecución correcta en control y finalización.
A nivel táctico, presenta un posicionamiento correcto en ubicación, desmarques y referencia ofensiva. En cuanto a la skill, presenta recursos muy básicos en control, finalización y recursos propios del área.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;4,09;;0,28;0,04;0,14;0,10;0,10;0,22;;0,07;0,05;Rendimiento;2006;;30/06/2026;
505;4,07;24;Juvenil;Justino Chitau Chivela Xavier;Justino Xavier;2007;Angola;UD Leiria U23;Liga Revelação U23;Diestro;Delantero;5;3;4;4;5;3;4;3;"Justino Xavier es un jugador nacido en el año 2007, actualmente en etapa pre-élite (Juvenil), de altura media-alta y complexión normal. Actúa principalmente como delantero y es de lateralidad diestra.
A nivel ofensivo, participa con cierta continuidad, aunque sin generar peligro claro en la finalización, los desmarques y la generación de ocasiones. En defensa, su participación es muy puntual y sin impacto real desde la presión sobre la salida rival. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en desmarques, aceleración y explosividad. En ejecución técnica, muestra una ejecución irregular en control y finalización.
A nivel táctico, presenta un posicionamiento correcto en ubicación, desmarques y referencia ofensiva. En cuanto a la skill, presenta recursos muy básicos en control, finalización y recursos propios del área.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;4,07;;0,27;0,05;0,14;0,10;0,10;0,21;;0,07;0,05;Pre-élite;2007;;30/06/2026;
506;4,04;23;Senior;Victor Ubong Ntokon;Ubong;2006;Nigeria;SC Farense U23;Liga Revelação U23;Diestro;Defensa central;3;5;4;4;4;3;3;4;"Ubong es un jugador nacido en el año 2006, actualmente en etapa de rendimiento (Senior), de altura media y complexión fuerte. Actúa principalmente como defensa central y es de lateralidad diestra.
A nivel ofensivo, participa de forma muy puntual, sin generar peligro a través de la salida, la conducción o las acciones a balón parado. En defensa, participa con cierta continuidad, aunque sin frenar al rival de forma clara en duelos, correcciones y defensa del área. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en aceleraciones cortas, correcciones y desplazamientos. En ejecución técnica, muestra una ejecución irregular en control, pase y salida de balón.
A nivel táctico, presenta un comportamiento táctico irregular en línea, coberturas y defensa del área. En cuanto a la skill, presenta recursos muy básicos en juego aéreo, conducción o pase diferencial.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;4,04;;0,04;0,27;0,18;0,09;0,18;0,05;;0,14;0,05;Rendimiento;2006;;30/06/2026;
507;3,72;22;Senior;Bernardo Domingos Antunes;Bernardo Antunes;2004;Portugal;SC Farense U23;Liga Revelação U23;Zurdo;Defensa central;3;4;4;4;4;3;3;3;"Bernardo Antunes es un jugador nacido en el año 2004, actualmente en etapa de rendimiento (Senior), de altura media y complexión normal. Actúa principalmente como defensa central y es de lateralidad zurda.
A nivel ofensivo, participa de forma muy puntual, sin generar peligro a través de la salida, la conducción o las acciones a balón parado. En defensa, muestra una intervención baja y de eficacia reducida en duelos, correcciones y defensa del área. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en aceleraciones cortas, correcciones y desplazamientos. En ejecución técnica, muestra una ejecución irregular en control, pase y salida de balón.
A nivel táctico, presenta un comportamiento táctico irregular en línea, coberturas y defensa del área. En cuanto a la skill, presenta recursos muy básicos en juego aéreo, conducción o pase diferencial.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;3,72;;0,04;0,27;0,18;0,09;0,18;0,05;;0,14;0,05;Rendimiento;2006;;30/06/2026;
508;5,34;24;Senior;Duarte Raúl Furtado;Duarte Furtado;2005;Portugal;SC Farense U23;Liga Revelação U23;Zurdo;Lateral;5;4;4;4;4;3;2;4;"Duarte Furtado es un jugador nacido en el año 2005, actualmente en etapa de rendimiento (Senior), de altura media-baja y complexión fuerte. Actúa principalmente como lateral y es de lateralidad zurda.
A nivel ofensivo, participa con cierta continuidad, aunque sin generar peligro claro a través de sus incorporaciones, centros y presencia en campo rival. En defensa, muestra una intervención baja y de eficacia reducida en duelo, contención y defensa de banda. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en recorridos largos y repetición de esfuerzos. En ejecución técnica, muestra una ejecución irregular en control, pase y centro.
A nivel táctico, presenta un comportamiento táctico irregular en altura, amplitud y ajuste defensivo. En cuanto a la skill, presenta recursos muy básicos en conducción, centro y acciones poco previsibles.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;3,90;6,78;0,10;0,27;0,27;0,09;0,08;0,10;;0,05;0,04;Rendimiento;2006;;30/06/2026;
509;4,19;25;Senior;Matteo Madeira Lorenzi;Matteo Lorenzi;2005;Portugal;SC Farense U23;Liga Revelação U23;Diestro;Mediocentro;4;4;4;5;5;3;3;3;"Matteo Lorenzi es un jugador nacido en el año 2005, actualmente en etapa de rendimiento (Senior), de altura media y complexión normal. Actúa principalmente como mediocentro y es de lateralidad diestra.
A nivel ofensivo, tiene una participación baja y un impacto muy reducido en la progresión, la activación del juego y la llegada puntual. En defensa, muestra una intervención baja y de eficacia reducida en equilibrio, recuperación e interrupción del juego rival. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en movilidad, dinamismo y repetición de esfuerzos. En ejecución técnica, presenta una ejecución correcta en control, pase y continuidad del juego.
A nivel táctico, presenta un posicionamiento correcto en equilibrio, apoyos y ocupación de espacios. En cuanto a la skill, presenta recursos muy básicos en giro, control, pase o conducción.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;4,19;;0,06;0,18;0,21;0,19;0,18;0,08;;0,07;0,03;Rendimiento;2006;;30/06/2027;
